kf      Mass     Width	  3*e  Y   2*Spin  on  stbl     Name  	 
13112	1.66	 0.1	    -3 0     1     0    0	Sigma(1660)-
13122	1.6	 0.15	    0  0     1     0    0	Lambda(1600)
13212	1.66	 0.1	    0  0     1     0    0	Sigma(1660)
13222	1.66	 0.1	    3  0     1     0    0	Sigma(1660)+
13312	1.700	 0.024	    -3 0     1     0    0	Xi(1720)-
13322	1.700	 0.024	    0  0     1     0    0	Xi(1720)
22112	1.535	 0.15	    0  0     1     0    0	N(1535)
22212	1.535	 0.15	    3  0     1     0    0	N(1535)+
23112	1.62	 0.06	    -3 0     1     0    0	Sigma(1620)-
23122	1.67	 0.06	    0  0     1     0    0	Lambda(1670)
23212	1.62	 0.06	    0  0     1     0    0	Sigma(1620)
23222	1.62	 0.06	    3  0     1     0    0	Sigma(1620)+
23312	1.823	 0.024	    -3 0     1     0    0	Xi(1800)-
23322	1.823	 0.024	    0  0     1     0    0	Xi(1800)
22132	1.407	 0.05	    0  0     1     0    0	Lambda(1405)
12114	1.52	 0.12	    0  0     3     0    0	N(1520)
12214	1.52	 0.12	    3  0     3     0    0	N(1520)+
13114	1.67	 0.06	    -3 0     3     0    0	Sigma(1670)-
13214	1.67	 0.06	    0  0     3     0    0	Sigma(1670)
13224	1.67	 0.06	    3  0     3     0    0	Sigma(1670)+
13124	1.69	 0.06	    0  0     3     0    0	Lambda(1690)
13314	1.823	 0.024	    -3 0     3     0    0	Xi(1820)-
13324	1.823	 0.024	    0  0     3     0    0	Xi(1820)
12134	1.5195	 0.0156     0  0     3     0    0	Lambda(1520)
9011114	1.7	 0.3	    -3 0     3     0    0	Delta(1700)-
9012114	1.7	 0.3	    0  0     3     0    0	Delta(1700)
9012214	1.7	 0.3	    3  0     3     0    0	Delta(1700)+
9012224	1.7	 0.3	    6  0     3     0    0	Delta(1700)++
9013114	1.94	 0.22	    -3 0     3     0    0	Sigma(1940)-
9013214	1.94	 0.22	    0  0     3     0    0	Sigma(1940)
9013224	1.94	 0.22	    3  0     3     0    0	Sigma(1940)+
9013314	2.1  	 0.10  	    -3 0     3     0   0	Xi(2100)-
9013324	2.1   	 0.10  	    0  0     3     0   0	Xi(2100)
9013334	2.3    	 0.01       -3 0     3     0   0	Omega(2300)-
1103    0.77133	 0	    -2 0     1       0    1	dd_1
2101    0.57933	 0	    1  0     1       0    1	ud_0
2103    0.77133	 0	    1  0     1       0    1	ud_1
2203    0.77133	 0	    4  0     1       0    1	uu_1
3101    0.80473	 0	    -2 0     1       0    1	sd_0
3103    0.92953	 0	    -2 0     1       0    1	sd_1
3201    0.80473	 0	    1  0     1       0    1	su_0
3203    0.92953	 0	    1  0     1       0    1	su_1
3303    1.09361	 0	    -2 0     1       0    1	ss_1
4101    1.96908	 0	    1  0     1       0    1	cd_0
4103    2.00808	 0	    1  0     1       0    1	cd_1
4201    1.96908	 0	    4  0     1       0    1	cu_0
4203    2.00808	 0	    4  0     1       0    1	cu_1
4301    2.15432	 0	    1  0     1       0    1	cs_0
4303    2.17967	 0	    1  0     1       0    1	cs_1
4403    3.27531	 0	    4  0     1       0    1	cc_1
5101    5.38897	 0	    -2 0     1       0    1	bd_0
5103    5.40145	 0	    -2 0     1       0    1	bd_1
5201    5.38897	 0	    1  0     1       0    1	bu_0
5203    5.40145	 0	    1  0     1       0    1	bu_1
5301    5.56725	 0	    -2 0     1       0    1	bs_0
5303    5.57536	 0	    -2 0     1       0    1	bs_1
5401    6.67143	 0	    1  0     1       0    1	bc_0
5403    6.67397	 0	    1  0     1       0    1	bc_1
5503   10.07354	 0	    -2 0     1       0    1	bb_1
4412    3.59798  0.         3  0     1     0    0       Xi(cc)+
4414    3.65648  0.         3  0     3     0    0       Xi*(cc)+
4422    3.59798  0.         6  0     1     0    0       Xi(cc)++
4424    3.65648  0.         6  0     3     0    0       Xi*(cc)++
4432    3.78663  0.         3  0     1     0    0       Omega(cc)+
4434    3.82466  0.         3  0     3     0    0       Omega*(cc)+
4444    4.91594  0.         6  0     3     0    0       Omega*(ccc)++
5142    7.00575  0.         0  0     1     0    0       Xi(bc)
5242    7.00575  0.         3  0     1     0    0       Xi(bc)+
5342    7.19099  0.         0  0     1     0    0       Omega(bc)
5412    7.03724  0.         0  0     1     0    0       Xi'(bc)
5414    7.0485   0.         0  0     3     0    0       Xi*(bc)
5422    7.03724  0.         3  0     1     0    0       Xi'(bc)+
5424    7.0485   0.         3  0     3     0    0       Xi*(bc)+
5432    7.21101  0.         0  0     1     0    0       Omega'(bc)
5434    7.219    0.         0  0     3     0    0       Omega*(bc)
5442    8.30945  0.         3  0     1     0    0       Omega(bcc)+
5444    8.31325  0.         3  0     3     0    0       Omega*(bcc)+
5512   10.42272  0.        -3  0     1     0    0       Xi(bb)-
5514   10.44144  0.        -3  0     3     0    0       Xi*(bb)-
5522   10.42272  0.         0  0     1     0    0       Xi(bb)
5524   10.44144  0.         0  0     3     0    0       Xi*(bb)
5532   10.60209  0.        -3  0     1     0    0       Omega(bb)-
5534   10.61426  0.        -3  0     3     0    0       Omega*(bb)-
5542   11.70767  0.         0  0     1     0    0       Omega(bbc)
5544   11.71147  0.         0  0     3     0    0       Omega*(bbc)
5554   15.11061  0.        -3  0     3     0    0       Omega*(bbb)-
5505   1000000.0 1000	    0  0     0     0    0	ralf
